"approval_ym","project_state","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2022-06-01","AR","21","0","0","0.00","613890.48"
"2024-04-01","WV","19","0","0","0.00","334626.32"
"2022-12-01","MT","15","0","0","0.00","365500.00"
"2023-04-01","ND","3","1","0.3333333333333333","241149.53","90000.00"
"2024-04-01","KS","39","0","0","0.00","335684.62"
"2021-04-01","SD","12","0","0","0.00","265383.33"
"2023-10-01","VA","69","0","0","0.00","681642.03"
"2022-01-01","NV","19","1","0.05263157894736842","139555.07","660931.58"
"2024-01-01","MN","124","1","0.008064516129032258","149327.23","389691.13"
"2019-11-01","CO","97","5","0.05154639175257732","564031.80","681611.34"
"2020-09-01","TN","53","2","0.03773584905660377","718378.10","750033.96"
"2022-04-01","AR","24","0","0","0.00","566645.83"
"2020-11-01","FL","148","8","0.05405405405405406","2092856.83","624476.35"
"2023-10-01","TN","51","0","0","0.00","463039.22"
"2020-11-01","PR","20","0","0","0.00","198255.00"
"2025-06-01","GA","111","0","0","0.00","758129.73"
"2022-12-01","TN","34","1","0.029411764705882353","97548.89","776014.71"
"2022-09-01","IN","103","0","0","0.00","520312.62"
"2021-06-01","MS","28","0","0","0.00","377467.86"
"2024-09-01","MS","41","0","0","0.00","352756.10"
"2023-11-01","VA","97","0","0","0.00","407837.11"
"2021-06-01","KY","47","0","0","0.00","301819.15"
"2022-01-01","TN","37","1","0.02702702702702703","63036.57","490440.54"
"2025-04-01","KS","35","0","0","0.00","372608.57"
"2024-01-01","RI","19","0","0","0.00","137631.58"
"2022-11-01","NV","44","0","0","0.00","594061.36"
"2022-07-01","NE","26","0","0","0.00","569453.85"
"2020-03-01","VA","61","1","0.01639344262295082","241333.81","678581.97"
"2022-10-01","UT","63","0","0","0.00","268765.08"
"2023-06-01","NY","402","5","0.012437810945273632","475988.08","251942.04"
"2020-11-01","WI","45","0","0","0.00","481802.22"
"2025-05-01","RI","24","0","0","0.00","363170.83"
"2022-08-01","WV","22","0","0","0.00","280531.82"
"2021-05-01","MT","21","0","0","0.00","425804.76"
"2024-02-01","MA","159","0","0","0.00","214226.42"
"2020-06-01","VT","20","0","0","0.00","140420.00"
"2025-03-01","NJ","324","0","0","0.00","403873.46"
"2022-02-01","PR","22","0","0","0.00","149222.73"
"2020-11-01","IN","60","0","0","0.00","433848.33"
"2021-09-01","NJ","278","3","0.01079136690647482","95814.25","806877.34"
"2020-07-01","WI","83","0","0","0.00","421273.49"
"2023-06-01","IN","95","2","0.021052631578947368","395526.98","372005.26"
