"approval_ym","naics_code_2","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2025-05-01","22","8","0","0","0.00","568375.00"
"2022-12-01","92","1","0","0","0.00","4591000.00"
"2022-05-01","54","357","9","0.025210084033613446","777001.95","402579.83"
"2023-07-01","42","184","1","0.005434782608695652","146462.55","670917.93"
"2021-02-01","42","165","2","0.012121212121212121","315628.19","819779.39"
"2025-01-01","22","10","0","0","0.00","344900.00"
"2024-03-01","54","607","3","0.004942339373970346","345135.50","391592.75"
"2022-03-01","52","97","1","0.010309278350515464","23342.54","482857.73"
"2021-04-01","81","381","8","0.02099737532808399","1157989.61","501233.07"
"2021-06-01","23","509","7","0.0137524557956778","1020951.22","491113.56"
"2022-05-01","33","135","1","0.007407407407407408","148614.41","733757.78"
"2023-09-01","55","1","0","0","0.00","1976000.00"
"2023-12-01","45","306","0","0","0.00","495613.73"
"2021-12-01","51","21","0","0","0.00","943361.90"
"2023-07-01","62","400","1","0.0025","75960.19","615865.50"
"2020-06-01","53","57","2","0.03508771929824561","3917887.83","945875.44"
"2022-10-01","61","58","1","0.017241379310344827","94492.11","398639.66"
"2023-06-01","54","488","8","0.01639344262295082","486045.26","379952.25"
"2023-12-01","81","500","2","0.004","296786.45","384408.60"
"2024-04-01","42","274","2","0.0072992700729927005","152700.00","536970.80"
"2021-12-01","44","351","5","0.014245014245014245","63867.02","717817.95"
"2023-01-01","49","22","0","0","0.00","365845.45"
"2021-11-01","11","41","0","0","0.00","691963.41"
"2023-05-01","33","141","1","0.0070921985815602835","145825.97","743812.77"
"2022-07-01","62","398","6","0.01507537688442211","469486.37","735915.08"
"2024-07-01","49","26","0","0","0.00","726138.46"
"2020-07-01","33","108","1","0.009259259259259259","42101.27","817329.63"
"2020-03-01","53","77","1","0.012987012987012988","23005.91","530925.97"
"2020-01-01","21","4","0","0","0.00","120800.00"
"2024-02-01","23","759","1","0.0013175230566534915","49992.93","270757.05"
"2023-12-01","71","144","1","0.006944444444444444","49494.84","377676.39"
"2021-04-01","31","75","0","0","0.00","538602.67"
"2020-03-01","52","63","2","0.031746031746031744","317132.91","422658.73"
"2020-05-01","71","63","0","0","0.00","380419.05"
"2019-10-01","81","403","16","0.03970223325062035","985121.45","392724.57"
"2023-05-01","53","130","2","0.015384615384615385","138159.26","513605.38"
"2024-03-01","72","773","1","0.00129366106080207","49655.87","582578.40"
"2024-09-01","71","273","0","0","0.00","555173.26"
"2025-03-01","31","147","0","0","0.00","446036.73"
"2022-02-01","23","362","3","0.008287292817679558","214562.10","336729.56"
"2024-02-01","71","173","0","0","0.00","431929.48"
"2023-09-01","45","417","0","0","0.00","572646.28"
"2023-01-01","71","130","1","0.007692307692307693","24468.30","388106.15"
