"approval_ym","size_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2019-10-01","150-350k","867","23","0.0265282583621684","4482267.81","261220.88"
"2019-10-01","350-2M","907","13","0.014332965821389196","9233914.80","859527.89"
"2019-10-01","50-150k","920","43","0.04673913043478261","3672334.61","107244.13"
"2019-10-01",">2M","182","0","0","0.00","3290702.20"
"2019-10-01","≤50k","1169","70","0.059880239520958084","1322014.31","27691.70"
"2019-11-01","150-350k","789","31","0.03929024081115336","5842387.49","265887.58"
"2019-11-01","350-2M","953","14","0.014690451206715634","6520437.49","884688.14"
"2019-11-01","50-150k","895","43","0.048044692737430165","4270301.84","110071.17"
"2019-11-01",">2M","217","2","0.009216589861751152","3156665.14","3295294.93"
"2019-11-01","≤50k","1090","59","0.05412844036697248","1089349.48","28510.55"
"2019-12-01","150-350k","758","19","0.025065963060686015","4171172.50","265171.50"
"2019-12-01","350-2M","940","10","0.010638297872340425","4874928.77","885769.79"
"2019-12-01","50-150k","824","34","0.0412621359223301","3336625.39","106940.90"
"2019-12-01",">2M","206","0","0","0.00","3302763.11"
"2019-12-01","≤50k","1046","59","0.05640535372848948","1335150.91","28469.31"
"2020-01-01","150-350k","699","25","0.0357653791130186","4533836.75","262554.08"
"2020-01-01","350-2M","776","8","0.010309278350515464","3683371.90","855906.83"
"2020-01-01","50-150k","746","33","0.04423592493297587","2889725.65","106898.93"
"2020-01-01",">2M","185","3","0.016216216216216217","3751090.22","3246431.89"
"2020-01-01","≤50k","1016","61","0.060039370078740155","1412782.55","28184.55"
"2020-02-01","150-350k","727","19","0.026134800550206328","3825135.97","265237.41"
"2020-02-01","350-2M","736","10","0.01358695652173913","5002375.27","864109.65"
"2020-02-01","50-150k","781","39","0.0499359795134443","3065373.26","105659.28"
"2020-02-01",">2M","189","1","0.005291005291005291","940783.73","3235051.85"
"2020-02-01","≤50k","955","51","0.05340314136125655","1272183.80","28730.37"
"2020-03-01","150-350k","661","15","0.0226928895612708","3537967.36","267371.10"
"2020-03-01","350-2M","758","5","0.006596306068601583","2736979.74","858741.56"
"2020-03-01","50-150k","763","37","0.04849279161205767","3181880.37","107628.31"
"2020-03-01",">2M","160","1","0.00625","1618453.31","3295800.00"
"2020-03-01","≤50k","1025","56","0.054634146341463415","1312732.41","28709.95"
"2020-04-01","150-350k","807","14","0.01734820322180917","2801675.39","272073.98"
"2020-04-01","350-2M","1442","14","0.009708737864077669","4712769.98","896358.88"
"2020-04-01","50-150k","777","33","0.04247104247104247","3470197.53","116984.81"
"2020-04-01",">2M","378","2","0.005291005291005291","5426999.61","3287425.93"
"2020-04-01","≤50k","1097","28","0.02552415679124886","468448.53","29380.40"
"2020-05-01","150-350k","314","1","0.0031847133757961785","132154.61","262701.27"
"2020-05-01","350-2M","463","4","0.008639308855291577","1829862.69","879468.03"
"2020-05-01","50-150k","476","18","0.037815126050420166","1657636.99","106115.13"
"2020-05-01",">2M","117","0","0","0.00","3339876.92"
"2020-05-01","≤50k","677","22","0.03249630723781388","492511.81","29036.63"
"2020-06-01","150-350k","411","9","0.021897810218978103","1933781.17","258534.79"
"2020-06-01","350-2M","538","3","0.0055762081784386614","2459183.41","859039.59"
"2020-06-01","50-150k","528","15","0.028409090909090908","1280314.79","105625.76"
"2020-06-01",">2M","129","1","0.007751937984496124","3856561.72","3238537.98"
"2020-06-01","≤50k","652","12","0.018404907975460124","257962.18","29468.25"
"2020-07-01","150-350k","572","10","0.017482517482517484","1679483.91","260425.70"
"2020-07-01","350-2M","840","10","0.011904761904761904","5157103.25","860972.62"
"2020-07-01","50-150k","579","15","0.025906735751295335","1445417.06","107534.37"
"2020-07-01",">2M","206","1","0.0048543689320388345","3639915.01","3347445.63"
"2020-07-01","≤50k","703","23","0.032716927453769556","499354.16","29885.78"
"2020-08-01","150-350k","637","9","0.0141287284144427","1745831.49","265907.85"
"2020-08-01","350-2M","1067","12","0.011246485473289597","6856119.28","870842.55"
"2020-08-01","50-150k","643","16","0.024883359253499222","1556393.69","109397.67"
"2020-08-01",">2M","252","1","0.003968253968253968","1781916.86","3164097.62"
"2020-08-01","≤50k","591","9","0.015228426395939087","243009.16","32417.77"
"2020-09-01","150-350k","1042","10","0.009596928982725527","2255867.01","260921.98"
"2020-09-01","350-2M","2057","10","0.004861448711716091","5376431.48","930111.96"
"2020-09-01","50-150k","959","22","0.022940563086548488","2432002.37","107578.73"
"2020-09-01",">2M","514","2","0.0038910505836575876","6669758.81","3226200.78"
"2020-09-01","≤50k","795","5","0.006289308176100629","97702.11","31550.94"
"2020-10-01","150-350k","497","11","0.022132796780684104","2276623.16","262387.93"
"2020-10-01","350-2M","709","3","0.004231311706629055","2499608.03","870974.61"
"2020-10-01","50-150k","531","24","0.04519774011299435","2166013.34","107987.57"
"2020-10-01",">2M","146","0","0","0.00","3142936.99"
"2020-10-01","≤50k","697","27","0.03873744619799139","552548.65","28681.21"
