decile,approved_cnt,default_cnt,avg_pd,odr,cum_defaults_%,cum_volume_%
10,33036,1805,0.8495029703742956,0.05463736529846228,0.48300776023548303,0.10000211894549164
9,33007,1229,0.5943472914691119,0.03723452600963432,0.8118811881188119,0.1999164530063296
8,33060,359,0.4517756820183704,0.010859044162129461,0.907947551511908,0.2999912215115346
7,33031,135,0.3644604405163195,0.0040870697223820045,0.9440727856569441,0.399978205132086
6,33042,75,0.30604012578371564,0.0022698383875068093,0.9641423601819642,0.499998486467506
5,33034,56,0.24790555911015302,0.001695223103469153,0.9791276424939791,0.5999945512830215
4,33037,23,0.19353340978626649,0.0006961891212882526,0.9852823120149853,0.6999996972935012
3,33035,17,0.12957443943163033,0.0005146057212047828,0.9898314155739898,0.7999987891740048
2,33035,37,0.019399637802075848,0.0011200242167398215,0.9997324056729997,0.8999978810545084
1,33036,1,9.158756642825324e-05,3.0270008475602374e-05,1.0,1.0
